   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Aug 24, 2025

   initial angular momentum (li) = 0   msorder=  1   raorder= 1
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  11.3 and   3.04 angstrom
   cluster size= 122 atoms and spacings=  1.43  1.82  1.70  1.55 angs
   inner potential=  0.0 V  debye and sample temperature= 105, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-3 =   55.8   69.7   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0000

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    20  2400    1   20  120 2400  ncurve npoint nk ntheta nphi nangle
   1   120  14.31   12.0    1.0    0.0   ----------------------------
  254.5    2.6778e+00    2.8446e+00   -5.8653e-02   -6.3473e-02
  257.5    2.6227e+00    2.8446e+00   -7.8016e-02    3.4109e-02
  260.5    2.5956e+00    2.8446e+00   -8.7530e-02   -1.4482e-02
  263.5    2.5543e+00    2.8446e+00   -1.0206e-01   -7.2249e-02
  266.5    2.5254e+00    2.8446e+00   -1.1223e-01   -6.2121e-02
  269.5    2.5238e+00    2.8446e+00   -1.1280e-01   -7.2666e-02
  272.5    2.5161e+00    2.8446e+00   -1.1548e-01   -2.6072e-02
  275.5    2.5877e+00    2.8446e+00   -9.0326e-02   -6.9412e-02
  278.5    2.6253e+00    2.8446e+00   -7.7090e-02   -5.8236e-03
  281.5    2.6613e+00    2.8446e+00   -6.4460e-02   -5.1093e-02
  284.5    2.7242e+00    2.8446e+00   -4.2318e-02    5.2910e-03
  287.5    2.7611e+00    2.8446e+00   -2.9355e-02   -2.1060e-02
  290.5    2.8474e+00    2.8446e+00    9.7895e-04   -2.9163e-03
  293.5    2.8928e+00    2.8446e+00    1.6937e-02    3.4551e-02
  296.5    2.9554e+00    2.8446e+00    3.8938e-02    4.0686e-02
  299.5    3.0281e+00    2.8446e+00    6.4487e-02    1.2766e-02
  302.5    3.0515e+00    2.8446e+00    7.2742e-02    4.3460e-02
  305.5    3.1400e+00    2.8446e+00    1.0384e-01    4.5645e-02
  308.5    3.1848e+00    2.8446e+00    1.1958e-01    8.6609e-02
  311.5    3.1750e+00    2.8446e+00    1.1614e-01    3.8164e-03
  314.5    3.1902e+00    2.8446e+00    1.2148e-01    8.9904e-02
  317.5    3.1817e+00    2.8446e+00    1.1849e-01    2.5472e-02
  320.5    3.1636e+00    2.8446e+00    1.1214e-01    2.6057e-02
  323.5    3.1232e+00    2.8446e+00    9.7931e-02    2.6541e-02
  326.5    3.0668e+00    2.8446e+00    7.8093e-02   -3.8696e-02
  329.5    3.0503e+00    2.8446e+00    7.2302e-02    3.4664e-02
  332.5    2.9673e+00    2.8446e+00    4.3126e-02   -2.2985e-02
  335.5    2.9202e+00    2.8446e+00    2.6579e-02   -2.1568e-02
  338.5    2.8672e+00    2.8446e+00    7.9483e-03    1.1815e-02
  341.5    2.8375e+00    2.8446e+00   -2.5051e-03    1.7354e-02
  344.5    2.8295e+00    2.8446e+00   -5.3155e-03   -6.3473e-02
  347.5    2.7882e+00    2.8446e+00   -1.9833e-02    3.4109e-02
  350.5    2.8041e+00    2.8446e+00   -1.4251e-02   -1.4482e-02
  353.5    2.7901e+00    2.8446e+00   -1.9158e-02   -7.2249e-02
  356.5    2.8068e+00    2.8446e+00   -1.3289e-02   -6.2121e-02
  359.5    2.7980e+00    2.8446e+00   -1.6395e-02   -7.2666e-02
   2   120  14.31   15.0    1.0    0.0   ----------------------------
    2.5    2.6668e+00    2.8249e+00   -5.5947e-02   -3.7186e-02
