    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1 3d           1 radial matrix data

        binding energy =  349.190 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
      11.5500    0.54555E-01      2.6249    0.92309E-02      0.1727
      11.6000    0.54001E-01      2.6270    0.91517E-02      0.1646
      11.6500    0.53451E-01      2.6289    0.90731E-02      0.1566
      11.7000    0.52907E-01      2.6306    0.89950E-02      0.1485
      11.7500    0.52369E-01      2.6321    0.89174E-02      0.1403
      11.8000    0.51836E-01      2.6334    0.88405E-02      0.1320
      11.8500    0.51310E-01      2.6345    0.87643E-02      0.1238
      11.9000    0.50791E-01      2.6354    0.86887E-02      0.1154
      11.9500    0.50280E-01      2.6361    0.86137E-02      0.1070
      12.0000    0.49775E-01      2.6366    0.85395E-02      0.0986
      12.0500    0.49278E-01      2.6369    0.84660E-02      0.0901
      12.1000    0.48789E-01      2.6370    0.83933E-02      0.0816
      12.1500    0.48308E-01      2.6370    0.83213E-02      0.0730
      12.2000    0.47835E-01      2.6368    0.82502E-02      0.0643
      12.2500    0.47370E-01      2.6365    0.81798E-02      0.0557
      12.3000    0.46914E-01      2.6360    0.81103E-02      0.0469
      12.3500    0.46466E-01      2.6353    0.80416E-02      0.0382
      12.4000    0.46027E-01      2.6345    0.79737E-02      0.0294
      12.4500    0.45596E-01      2.6336    0.79067E-02      0.0205
      12.5000    0.45173E-01      2.6326    0.78406E-02      0.0116
      12.5500    0.44759E-01      2.6315    0.77753E-02      0.0027
      12.6000    0.44354E-01      2.6302    0.77109E-02     -0.0063
      12.6500    0.43956E-01      2.6288    0.76474E-02     -0.0153
      12.7000    0.43568E-01      2.6274    0.75848E-02     -0.0243
      12.7500    0.43187E-01      2.6258    0.75231E-02     -0.0333
      12.8000    0.42815E-01      2.6242    0.74623E-02     -0.0424
      12.8500    0.42451E-01      2.6225    0.74025E-02     -0.0515
      12.9000    0.42095E-01      2.6207    0.73435E-02     -0.0607
      12.9500    0.41747E-01      2.6189    0.72853E-02     -0.0698
      13.0000    0.41406E-01      2.6170    0.72281E-02     -0.0790
      13.0500    0.41073E-01      2.6151    0.71717E-02     -0.0882
      13.1000    0.40748E-01      2.6131    0.71163E-02     -0.0974
      13.1500    0.40430E-01      2.6111    0.70617E-02     -0.1066
      13.2000    0.40119E-01      2.6090    0.70080E-02     -0.1158
      13.2500    0.39820E-01      2.6069    0.69551E-02     -0.1251
      13.3000    0.39518E-01      2.6048    0.69032E-02     -0.1343
      13.3500    0.39228E-01      2.6027    0.68521E-02     -0.1436
      13.4000    0.38945E-01      2.6006    0.68018E-02     -0.1528
      13.4500    0.38668E-01      2.5985    0.67524E-02     -0.1621
      13.5000    0.38398E-01      2.5964    0.67038E-02     -0.1713
      13.5500    0.38133E-01      2.5942    0.66560E-02     -0.1806
      13.6000    0.37875E-01      2.5921    0.66091E-02     -0.1898
      13.6500    0.37622E-01      2.5901    0.65629E-02     -0.1991
      13.7000    0.37375E-01      2.5880    0.65175E-02     -0.2083
      13.7500    0.37134E-01      2.5860    0.64730E-02     -0.2175
      13.8000    0.36897E-01      2.5840    0.64292E-02     -0.2267
      13.8500    0.36666E-01      2.5820    0.63861E-02     -0.2359
      13.9000    0.36439E-01      2.5801    0.63438E-02     -0.2451
      13.9500    0.36217E-01      2.5782    0.63022E-02     -0.2542
      14.0000    0.36000E-01      2.5764    0.62613E-02     -0.2634
      14.0500    0.35787E-01      2.5746    0.62211E-02     -0.2725
      14.1000    0.35578E-01      2.5729    0.61816E-02     -0.2815
      14.1500    0.35373E-01      2.5713    0.61428E-02     -0.2906
      14.2000    0.35171E-01      2.5697    0.61047E-02     -0.2996
      14.2500    0.34973E-01      2.5682    0.60671E-02     -0.3086
      14.3000    0.34779E-01      2.5668    0.60302E-02     -0.3175
      14.3500    0.34587E-01      2.5654    0.59939E-02     -0.3264
      14.4000    0.34399E-01      2.5641    0.59582E-02     -0.3353
      14.4500    0.34213E-01      2.5629    0.59231E-02     -0.3441
      14.5000    0.34029E-01      2.5618    0.58886E-02     -0.3529
      14.5500    0.33848E-01      2.5607    0.58545E-02     -0.3617
      14.6000    0.33669E-01      2.5598    0.58210E-02     -0.3703
      14.6500    0.33492E-01      2.5589    0.57881E-02     -0.3790
      14.7000    0.33317E-01      2.5581    0.57556E-02     -0.3876
      14.7500    0.33143E-01      2.5575    0.57236E-02     -0.3961
      14.8000    0.32971E-01      2.5569    0.56920E-02     -0.4046
      14.8500    0.32800E-01      2.5564    0.56609E-02     -0.4131
      14.9000    0.32630E-01      2.5559    0.56302E-02     -0.4215
      14.9500    0.32461E-01      2.5556    0.55999E-02     -0.4298
      15.0000    0.32292E-01      2.5554    0.55700E-02     -0.4380
      15.0500    0.32124E-01      2.5553    0.55405E-02     -0.4462
      15.1000    0.31956E-01      2.5552    0.55113E-02     -0.4544
      15.1500    0.31788E-01      2.5553    0.54825E-02     -0.4625
      15.2000    0.31621E-01      2.5554    0.54540E-02     -0.4705
      15.2500    0.31453E-01      2.5556    0.54258E-02     -0.4784
      15.3000    0.31284E-01      2.5559    0.53978E-02     -0.4863
      15.3500    0.31116E-01      2.5563    0.53702E-02     -0.4941
      15.4000    0.30946E-01      2.5568    0.53428E-02     -0.5019
      15.4500    0.30776E-01      2.5573    0.53156E-02     -0.5095
      15.5000    0.30606E-01      2.5580    0.52886E-02     -0.5172
      15.5500    0.30434E-01      2.5587    0.52619E-02     -0.5247
      15.6000    0.30261E-01      2.5594    0.52353E-02     -0.5321
      15.6500    0.30087E-01      2.5603    0.52089E-02     -0.5395
      15.7000    0.29912E-01      2.5612    0.51826E-02     -0.5469
      15.7500    0.29736E-01      2.5621    0.51565E-02     -0.5541
      15.8000    0.29558E-01      2.5631    0.51305E-02     -0.5613
      15.8500    0.29379E-01      2.5642    0.51046E-02     -0.5684
      15.9000    0.29198E-01      2.5653    0.50788E-02     -0.5754
      15.9500    0.29016E-01      2.5664    0.50531E-02     -0.5823
      16.0000    0.28833E-01      2.5676    0.50274E-02     -0.5892
      16.0500    0.28648E-01      2.5688    0.50018E-02     -0.5960
      16.1000    0.28461E-01      2.5701    0.49762E-02     -0.6027
      16.1500    0.28273E-01      2.5713    0.49506E-02     -0.6094
      16.2000    0.28084E-01      2.5726    0.49251E-02     -0.6160
      16.2500    0.27893E-01      2.5739    0.48995E-02     -0.6225
      16.3000    0.27700E-01      2.5752    0.48740E-02     -0.6289
      16.3500    0.27506E-01      2.5765    0.48484E-02     -0.6353
      16.4000    0.27311E-01      2.5778    0.48227E-02     -0.6416
      16.4500    0.27115E-01      2.5791    0.47971E-02     -0.6478
      16.5000    0.26917E-01      2.5803    0.47713E-02     -0.6539
      16.5500    0.26718E-01      2.5816    0.47456E-02     -0.6600
      16.6000    0.26519E-01      2.5828    0.47197E-02     -0.6660
      16.6500    0.26318E-01      2.5840    0.46938E-02     -0.6720
      16.7000    0.26116E-01      2.5852    0.46678E-02     -0.6779
      16.7500    0.25914E-01      2.5863    0.46417E-02     -0.6837
      16.8000    0.25711E-01      2.5874    0.46155E-02     -0.6895
      16.8500    0.25507E-01      2.5884    0.45892E-02     -0.6952
      16.9000    0.25304E-01      2.5894    0.45628E-02     -0.7008
      16.9500    0.25099E-01      2.5903    0.45363E-02     -0.7064
      17.0000    0.24895E-01      2.5912    0.45097E-02     -0.7120
      17.0500    0.24690E-01      2.5920    0.44830E-02     -0.7175
      17.1000    0.24486E-01      2.5928    0.44561E-02     -0.7229
      17.1500    0.24282E-01      2.5935    0.44292E-02     -0.7283
      17.2000    0.24078E-01      2.5941    0.44021E-02     -0.7337
      17.2500    0.23874E-01      2.5946    0.43750E-02     -0.7390
      17.3000    0.23671E-01      2.5951    0.43477E-02     -0.7442
      17.3500    0.23469E-01      2.5955    0.43203E-02     -0.7495
      17.4000    0.23267E-01      2.5958    0.42929E-02     -0.7547
      17.4500    0.23066E-01      2.5960    0.42653E-02     -0.7598
      17.5000    0.22867E-01      2.5962    0.42376E-02     -0.7650
      17.5500    0.22668E-01      2.5963    0.42099E-02     -0.7700
      17.6000    0.22470E-01      2.5963    0.41820E-02     -0.7751
      17.6500    0.22274E-01      2.5962    0.41541E-02     -0.7802
      17.7000    0.22080E-01      2.5960    0.41261E-02     -0.7852
      17.7500    0.21886E-01      2.5957    0.40980E-02     -0.7902
