    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)
   16.8000  -0.7950  -2.3581   2.5634   1.6034   1.0604   0.6631   0.4736   0.3114   0.1431   0.0464
   16.8500  -0.8015  -2.3632   2.5606   1.6038   1.0623   0.6651   0.4745   0.3144   0.1461   0.0479
   16.9000  -0.8080  -2.3684   2.5578   1.6043   1.0642   0.6671   0.4754   0.3173   0.1491   0.0493
   16.9500  -0.8145  -2.3736   2.5550   1.6049   1.0659   0.6691   0.4762   0.3201   0.1522   0.0509
   17.0000  -0.8211  -2.3788   2.5522   1.6055   1.0677   0.6712   0.4770   0.3229   0.1553   0.0524
   17.0500  -0.8276  -2.3840   2.5494   1.6061   1.0693   0.6734   0.4778   0.3256   0.1584   0.0540
   17.1000  -0.8342  -2.3892   2.5466   1.6067   1.0709   0.6756   0.4786   0.3283   0.1615   0.0556
   17.1500  -0.8407  -2.3944   2.5438   1.6074   1.0724   0.6778   0.4793   0.3309   0.1646   0.0572
   17.2000  -0.8473  -2.3997   2.5410   1.6082   1.0738   0.6801   0.4801   0.3334   0.1677   0.0589
   17.2500  -0.8539  -2.4049   2.5382   1.6089   1.0752   0.6823   0.4808   0.3359   0.1708   0.0606
   17.3000  -0.8604  -2.4102   2.5354   1.6097   1.0765   0.6847   0.4815   0.3383   0.1739   0.0624
   17.3500  -0.8670  -2.4155   2.5326   1.6106   1.0778   0.6870   0.4822   0.3406   0.1770   0.0641
   17.4000  -0.8736  -2.4207   2.5299   1.6114   1.0789   0.6894   0.4829   0.3429   0.1802   0.0659
   17.4500  -0.8802  -2.4260   2.5272   1.6123   1.0801   0.6919   0.4835   0.3451   0.1833   0.0678
   17.5000  -0.8868  -2.4313   2.5245   1.6132   1.0811   0.6943   0.4842   0.3472   0.1864   0.0696
   17.5500  -0.8934  -2.4366   2.5218   1.6142   1.0821   0.6968   0.4849   0.3493   0.1895   0.0715
   17.6000  -0.9000  -2.4418   2.5191   1.6152   1.0831   0.6993   0.4856   0.3514   0.1926   0.0734
   17.6500  -0.9066  -2.4471   2.5165   1.6161   1.0840   0.7018   0.4862   0.3533   0.1957   0.0754
   17.7000  -0.9133  -2.4524   2.5138   1.6171   1.0848   0.7044   0.4869   0.3552   0.1988   0.0774
   17.7500  -0.9199  -2.4577   2.5112   1.6182   1.0856   0.7069   0.4876   0.3570   0.2019   0.0794
