    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)
        10              lnum
   10.0500   2.2211   0.3179  -1.8291   2.3620   1.2433   0.3185   0.0483   0.0063   0.0007   0.0001
   10.1000   2.2119   0.3108  -1.8316   2.3688   1.2507   0.3300   0.0507   0.0067   0.0007   0.0001
   10.1500   2.2026   0.3038  -1.8340   2.3756   1.2577   0.3418   0.0531   0.0071   0.0008   0.0001
   10.2000   2.1934   0.2967  -1.8364   2.3824   1.2643   0.3539   0.0557   0.0075   0.0008   0.0001
   10.2500   2.1842   0.2897  -1.8387   2.3892   1.2705   0.3660   0.0584   0.0080   0.0009   0.0001
   10.3000   2.1750   0.2827  -1.8410   2.3961   1.2764   0.3784   0.0612   0.0084   0.0010   0.0001
   10.3500   2.1657   0.2756  -1.8433   2.4029   1.2819   0.3910   0.0640   0.0089   0.0010   0.0001
   10.4000   2.1565   0.2686  -1.8455   2.4097   1.2871   0.4037   0.0670   0.0094   0.0011   0.0001
   10.4500   2.1473   0.2616  -1.8477   2.4164   1.2920   0.4165   0.0701   0.0099   0.0012   0.0001
   10.5000   2.1380   0.2546  -1.8499   2.4230   1.2965   0.4295   0.0734   0.0105   0.0012   0.0001
   10.5500   2.1288   0.2476  -1.8521   2.4296   1.3008   0.4426   0.0767   0.0111   0.0013   0.0001
   10.6000   2.1195   0.2406  -1.8543   2.4361   1.3049   0.4557   0.0801   0.0117   0.0014   0.0001
   10.6500   2.1102   0.2335  -1.8565   2.4425   1.3086   0.4689   0.0837   0.0124   0.0015   0.0002
   10.7000   2.1009   0.2265  -1.8587   2.4488   1.3122   0.4822   0.0874   0.0130   0.0016   0.0002
   10.7500   2.0916   0.2194  -1.8609   2.4549   1.3155   0.4955   0.0913   0.0137   0.0017   0.0002
   10.8000   2.0823   0.2123  -1.8631   2.4610   1.3186   0.5089   0.0952   0.0145   0.0018   0.0002
   10.8500   2.0729   0.2052  -1.8654   2.4668   1.3216   0.5222   0.0993   0.0152   0.0019   0.0002
   10.9000   2.0636   0.1981  -1.8677   2.4726   1.3243   0.5355   0.1036   0.0161   0.0021   0.0002
   10.9500   2.0542   0.1909  -1.8700   2.4781   1.3269   0.5488   0.1079   0.0169   0.0022   0.0002
   11.0000   2.0448   0.1837  -1.8723   2.4835   1.3293   0.5620   0.1124   0.0178   0.0023   0.0003
   11.0500   2.0353   0.1765  -1.8747   2.4887   1.3316   0.5752   0.1171   0.0187   0.0025   0.0003
   11.1000   2.0258   0.1692  -1.8772   2.4938   1.3338   0.5882   0.1219   0.0197   0.0026   0.0003
   11.1500   2.0163   0.1619  -1.8797   2.4986   1.3358   0.6011   0.1268   0.0207   0.0028   0.0003
   11.2000   2.0068   0.1546  -1.8822   2.5033   1.3378   0.6139   0.1319   0.0217   0.0030   0.0003
   11.2500   1.9972   0.1473  -1.8848   2.5077   1.3396   0.6266   0.1371   0.0228   0.0031   0.0004
   11.3000   1.9877   0.1398  -1.8875   2.5120   1.3414   0.6391   0.1425   0.0239   0.0033   0.0004
   11.3500   1.9780   0.1324  -1.8903   2.5160   1.3431   0.6514   0.1481   0.0251   0.0035   0.0004
   11.4000   1.9684   0.1249  -1.8931   2.5198   1.3447   0.6635   0.1537   0.0263   0.0037   0.0004
   11.4500   1.9587   0.1174  -1.8960   2.5235   1.3463   0.6754   0.1596   0.0276   0.0040   0.0005
   11.5000   1.9490   0.1098  -1.8989   2.5269   1.3478   0.6871   0.1656   0.0290   0.0042   0.0005
   11.5500   1.9393   0.1022  -1.9020   2.5301   1.3493   0.6985   0.1717   0.0304   0.0044   0.0005
   11.6000   1.9295   0.0945  -1.9051   2.5331   1.3508   0.7098   0.1780   0.0318   0.0047   0.0006
   11.6500   1.9197   0.0868  -1.9083   2.5359   1.3522   0.7207   0.1845   0.0333   0.0050   0.0006
   11.7000   1.9099   0.0791  -1.9115   2.5385   1.3537   0.7315   0.1911   0.0348   0.0052   0.0006
   11.7500   1.9000   0.0713  -1.9149   2.5409   1.3551   0.7419   0.1978   0.0365   0.0055   0.0007
   11.8000   1.8901   0.0634  -1.9184   2.5431   1.3566   0.7521   0.2047   0.0381   0.0059   0.0007
   11.8500   1.8802   0.0555  -1.9219   2.5451   1.3581   0.7620   0.2117   0.0399   0.0062   0.0008
   11.9000   1.8703   0.0476  -1.9255   2.5469   1.3596   0.7717   0.2189   0.0417   0.0065   0.0008
   11.9500   1.8603   0.0396  -1.9292   2.5485   1.3611   0.7810   0.2262   0.0436   0.0069   0.0009
   12.0000   1.8503   0.0316  -1.9330   2.5500   1.3626   0.7901   0.2337   0.0455   0.0072   0.0009
   12.0500   1.8402   0.0234  -1.9370   2.5512   1.3642   0.7988   0.2411   0.0474   0.0076   0.0010
   12.1000   1.8302   0.0153  -1.9409   2.5522   1.3659   0.8073   0.2488   0.0495   0.0080   0.0011
   12.1500   1.8201   0.0071  -1.9450   2.5531   1.3676   0.8155   0.2567   0.0517   0.0085   0.0011
   12.2000   1.8100  -0.0011  -1.9491   2.5539   1.3693   0.8235   0.2647   0.0539   0.0089   0.0012
   12.2500   1.7998  -0.0093  -1.9533   2.5544   1.3711   0.8311   0.2728   0.0562   0.0094   0.0013
   12.3000   1.7897  -0.0176  -1.9576   2.5548   1.3730   0.8385   0.2810   0.0586   0.0099   0.0014
   12.3500   1.7795  -0.0259  -1.9620   2.5551   1.3750   0.8457   0.2893   0.0610   0.0104   0.0014
   12.4000   1.7693  -0.0343  -1.9665   2.5552   1.3771   0.8525   0.2977   0.0636   0.0109   0.0015
   12.4500   1.7591  -0.0427  -1.9711   2.5551   1.3792   0.8591   0.3062   0.0662   0.0115   0.0016
   12.5000   1.7489  -0.0512  -1.9757   2.5550   1.3814   0.8654   0.3148   0.0689   0.0120   0.0017
   12.5500   1.7386  -0.0596  -1.9804   2.5547   1.3837   0.8714   0.3235   0.0717   0.0126   0.0018
   12.6000   1.7284  -0.0682  -1.9852   2.5543   1.3861   0.8772   0.3322   0.0746   0.0133   0.0019
   12.6500   1.7181  -0.0767  -1.9901   2.5537   1.3886   0.8828   0.3410   0.0776   0.0139   0.0021
   12.7000   1.7078  -0.0853  -1.9950   2.5531   1.3913   0.8881   0.3499   0.0806   0.0146   0.0022
   12.7500   1.6975  -0.0939  -2.0000   2.5523   1.3940   0.8932   0.3588   0.0838   0.0153   0.0023
