   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Feb 27, 2026

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  11.0 and   3.04 angstrom
   cluster size= 187 atoms and spacings=  1.75  0.00  0.36  1.28 angs
   inner potential=  4.0 V  debye and sample temperature= 237, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-2 =   16.0   69.7 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    10  1200    1   10  120 1200  ncurve npoint nk ntheta nphi nangle
   1   120  15.82   30.0    1.0    0.0   ----------------------------
   80.5    3.5679e+00    3.3519e+00    6.4429e-02    6.7714e-02
   83.5    3.8926e+00    3.3519e+00    1.6132e-01    8.7031e-02
   86.5    4.1494e+00    3.3519e+00    2.3792e-01    1.0122e-01
   89.5    4.3118e+00    3.3519e+00    2.8638e-01    1.0517e-01
   92.5    4.3735e+00    3.3519e+00    3.0478e-01    1.0859e-01
   95.5    4.2766e+00    3.3519e+00    2.7586e-01    1.0698e-01
   98.5    4.0706e+00    3.3519e+00    2.1441e-01    1.0316e-01
  101.5    3.7420e+00    3.3519e+00    1.1638e-01    7.7403e-02
  104.5    3.4136e+00    3.3519e+00    1.8405e-02    3.0569e-02
  107.5    3.1351e+00    3.3519e+00   -6.4693e-02   -6.4170e-03
  110.5    2.8560e+00    3.3519e+00   -1.4796e-01   -2.2563e-02
  113.5    2.7476e+00    3.3519e+00   -1.8029e-01   -3.7033e-02
  116.5    2.6587e+00    3.3519e+00   -2.0682e-01   -5.8210e-02
  119.5    2.7362e+00    3.3519e+00   -1.8369e-01   -8.7822e-02
  122.5    2.9182e+00    3.3519e+00   -1.2938e-01   -9.6643e-02
  125.5    3.0976e+00    3.3519e+00   -7.5859e-02   -8.5553e-02
  128.5    3.2748e+00    3.3519e+00   -2.3020e-02   -1.9825e-02
  131.5    3.3020e+00    3.3519e+00   -1.4885e-02   -1.2086e-02
  134.5    3.2655e+00    3.3519e+00   -2.5778e-02   -1.0427e-03
  137.5    3.2869e+00    3.3519e+00   -1.9395e-02    5.7627e-03
  140.5    3.2569e+00    3.3519e+00   -2.8346e-02   -1.4087e-02
  143.5    3.1463e+00    3.3519e+00   -6.1339e-02   -5.0052e-02
  146.5    3.0735e+00    3.3519e+00   -8.3065e-02   -8.3336e-02
  149.5    2.8947e+00    3.3519e+00   -1.3640e-01   -8.7035e-02
  152.5    2.7252e+00    3.3519e+00   -1.8696e-01   -7.8703e-02
  155.5    2.5886e+00    3.3519e+00   -2.2774e-01   -4.8016e-02
  158.5    2.6241e+00    3.3519e+00   -2.1714e-01   -2.6271e-02
  161.5    2.8773e+00    3.3519e+00   -1.4160e-01   -2.6531e-03
  164.5    3.4411e+00    3.3519e+00    2.6595e-02    2.4185e-02
  167.5    4.0929e+00    3.3519e+00    2.2105e-01    7.5095e-02
  170.5    4.4822e+00    3.3519e+00    3.3721e-01    1.0166e-01
  173.5    4.5799e+00    3.3519e+00    3.6634e-01    9.0284e-02
  176.5    4.3977e+00    3.3519e+00    3.1200e-01    3.5810e-02
  179.5    4.0674e+00    3.3519e+00    2.1347e-01    9.7238e-03
  182.5    4.2255e+00    3.3519e+00    2.6061e-01    1.9796e-02
  185.5    4.4534e+00    3.3519e+00    3.2862e-01    6.8722e-02
  188.5    4.4865e+00    3.3519e+00    3.3848e-01    8.6441e-02
  191.5    4.2142e+00    3.3519e+00    2.5725e-01    6.9373e-02
  194.5    3.6490e+00    3.3519e+00    8.8617e-02    2.5392e-02
  197.5    3.0336e+00    3.3519e+00   -9.4979e-02   -2.9917e-03
  200.5    2.6789e+00    3.3519e+00   -2.0079e-01   -1.9976e-02
  203.5    2.6086e+00    3.3519e+00   -2.2176e-01   -3.7601e-02
  206.5    2.6930e+00    3.3519e+00   -1.9657e-01   -5.7278e-02
  209.5    2.8656e+00    3.3519e+00   -1.4509e-01   -7.9958e-02
  212.5    3.0535e+00    3.3519e+00   -8.9025e-02   -8.0483e-02
  215.5    3.1490e+00    3.3519e+00   -6.0537e-02   -6.5391e-02
  218.5    3.2323e+00    3.3519e+00   -3.5676e-02   -4.0800e-02
  221.5    3.2480e+00    3.3519e+00   -3.1015e-02   -2.8692e-02
  224.5    3.2741e+00    3.3519e+00   -2.3214e-02   -2.2405e-02
  227.5    3.2702e+00    3.3519e+00   -2.4375e-02   -2.0490e-02
  230.5    3.2856e+00    3.3519e+00   -1.9795e-02   -1.7573e-02
